day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,num_collisions
1,2020,01,20,2020-01-20,26.5,5.6,1021.1,10.0,7.3,11.1,25.1,43.0,19.9,0.0,1.2,0,390
2,2020,01,21,2020-01-21,25.1,5.0,1029.7,10.0,4.1,8.0,15.0,33.1,19.9,0.0,999.9,0,556
3,2020,01,22,2020-01-22,30.0,12.7,1030.7,10.0,999.9,999.9,999.9,37.9,19.9,0.0,999.9,0,489
4,2020,01,23,2020-01-23,38.7,16.8,1029.0,10.0,999.9,999.9,999.9,46.9,25.0,0.0,999.9,0,451
5,2020,01,24,2020-01-24,43.6,22.9,1027.4,9.4,999.9,999.9,999.9,51.1,33.1,0.0,999.9,0,524
6,2020,01,25,2020-01-25,42.5,36.7,1019.6,6.7,999.9,999.9,999.9,51.8,37.9,0.0,999.9,1,383
7,2020,01,26,2020-01-26,42.6,32.8,1008.5,10.0,999.9,999.9,999.9,51.1,37.9,0.85,999.9,0,398
1,2020,01,27,2020-01-27,40.4,27.3,1006.2,10.0,999.9,999.9,999.9,46.0,37.0,0.0,999.9,0,452
2,2020,01,28,2020-01-28,39.8,24.8,1008.5,10.0,7.2,9.9,21.0,45.0,37.0,0.0,999.9,0,404
3,2020,01,29,2020-01-29,36.5,17.4,1016.2,10.0,6.4,12.0,21.0,41.0,32.0,0.0,999.9,0,495
4,2020,01,30,2020-01-30,31.3,14.3,1024.8,10.0,4.2,8.0,15.0,37.9,25.0,0.0,999.9,0,525
5,2020,01,31,2020-01-31,37.9,27.9,1026.3,10.0,2.7,5.1,999.9,44.1,25.0,0.0,999.9,0,518
6,2020,02,01,2020-02-01,40.6,35.3,1015.0,6.8,2.1,6.0,999.9,44.1,33.1,0.02,999.9,0,409
7,2020,02,02,2020-02-02,39.3,30.9,1002.2,8.4,4.0,11.1,22.9,45.0,35.1,0.01,999.9,0,391
1,2020,02,03,2020-02-03,45.1,33.3,1006.8,9.1,5.2,8.9,15.9,57.0,35.1,0.06,999.9,0,559
2,2020,02,04,2020-02-04,50.1,39.1,1009.3,9.8,2.5,7.0,999.9,60.1,37.0,0.0,999.9,0,464
3,2020,02,05,2020-02-05,45.2,33.0,1014.0,9.8,4.6,11.1,17.1,61.0,39.9,0.0,999.9,0,432
4,2020,02,06,2020-02-06,39.2,33.5,1008.3,5.2,6.1,11.1,15.9,55.0,35.1,0.43,999.9,0,544
5,2020,02,07,2020-02-07,40.7,36.4,992.1,5.2,7.2,19.0,34.0,55.9,35.1,0.19,999.9,0,604
6,2020,02,08,2020-02-08,34.5,16.1,1016.4,10.0,7.5,12.0,27.0,39.9,30.0,0.14,999.9,0,466
7,2020,02,09,2020-02-09,36.3,25.8,1030.5,10.0,4.8,8.9,999.9,44.1,30.0,0.0,999.9,0,373
1,2020,02,10,2020-02-10,43.5,34.7,1023.4,8.6,5.2,11.1,15.9,46.9,30.9,0.02,999.9,0,572
2,2020,02,11,2020-02-11,44.9,42.9,1013.4,4.8,2.7,8.9,15.0,48.0,42.1,0.37,999.9,0,458
3,2020,02,12,2020-02-12,42.8,25.2,1018.4,10.0,5.4,11.1,22.0,48.0,37.9,0.14,999.9,0,438
4,2020,02,13,2020-02-13,40.1,35.9,1010.6,5.2,3.3,8.0,999.9,46.0,37.0,0.36,999.9,0,504
5,2020,02,14,2020-02-14,33.8,15.4,1020.7,10.0,6.9,11.1,20.0,44.1,25.0,0.16,999.9,0,632
6,2020,02,15,2020-02-15,21.6,2.5,1035.1,10.0,4.2,8.0,19.0,39.9,14.0,0.0,999.9,0,440
7,2020,02,16,2020-02-16,34.6,20.7,1023.2,10.0,5.3,11.1,19.0,44.1,14.0,0.0,999.9,0,387
1,2020,02,17,2020-02-17,43.8,22.7,1022.2,10.0,3.4,6.0,999.9,51.1,30.0,0.0,999.9,0,339
2,2020,02,18,2020-02-18,41.9,30.2,1024.8,9.1,6.4,11.1,18.1,51.1,37.9,0.0,999.9,0,428
3,2020,02,19,2020-02-19,44.0,25.5,1020.5,8.5,6.2,13.0,22.0,48.0,37.9,0.0,999.9,0,477
4,2020,02,20,2020-02-20,32.6,10.9,1029.7,10.0,5.2,8.0,18.1,48.0,28.9,0.0,999.9,0,448
5,2020,02,21,2020-02-21,27.7,3.4,1031.0,10.0,4.3,7.0,18.1,35.1,19.9,0.0,999.9,0,504
6,2020,02,22,2020-02-22,37.4,6.4,1024.7,10.0,5.7,8.0,17.1,50.0,19.9,0.0,999.9,0,407
7,2020,02,23,2020-02-23,46.5,9.4,1021.6,10.0,3.8,7.0,15.9,55.9,39.0,0.0,999.9,0,392
1,2020,02,24,2020-02-24,50.0,21.2,1017.2,9.9,3.5,8.0,999.9,62.1,39.0,0.0,999.9,0,493
2,2020,02,25,2020-02-25,49.2,39.9,1012.2,8.2,2.7,7.0,999.9,62.1,41.0,0.0,999.9,0,527
3,2020,02,26,2020-02-26,46.3,44.0,1012.3,5.0,5.1,9.9,999.9,53.1,45.0,0.14,999.9,0,449
4,2020,02,27,2020-02-27,41.5,30.3,1001.2,8.0,10.6,17.1,36.9,48.0,34.0,0.4,999.9,0,581
5,2020,02,28,2020-02-28,33.8,10.0,1009.6,10.0,9.3,15.9,28.0,43.0,28.9,0.0,999.9,0,530
6,2020,02,29,2020-02-29,32.2,7.8,1010.9,10.0,7.5,9.9,24.1,42.1,28.9,0.0,999.9,0,456
7,2020,03,01,2020-03-01,32.0,10.1,1019.0,10.0,6.5,9.9,20.0,44.1,25.0,0.0,999.9,0,423
1,2020,03,02,2020-03-02,46.6,25.3,1016.4,10.0,4.8,9.9,20.0,57.9,25.0,0.0,999.9,0,562
2,2020,03,03,2020-03-03,53.9,42.3,1006.8,8.9,5.1,9.9,17.1,59.0,39.9,0.01,999.9,0,550
3,2020,03,04,2020-03-04,50.7,31.5,1005.3,9.3,8.8,15.9,28.0,59.0,45.0,0.25,999.9,0,540
4,2020,03,05,2020-03-05,45.7,26.1,1016.9,10.0,5.2,8.9,18.1,55.9,39.0,0.0,999.9,0,529
5,2020,03,06,2020-03-06,41.8,34.1,1013.8,8.7,6.0,11.1,20.0,51.1,37.0,0.0,999.9,0,673
6,2020,03,07,2020-03-07,40.2,21.9,1018.9,10.0,6.8,13.0,22.0,48.0,36.0,0.37,999.9,0,515
7,2020,03,08,2020-03-08,44.4,13.6,1029.2,10.0,5.7,11.1,19.0,59.0,35.1,0.0,999.9,0,408
1,2020,03,09,2020-03-09,57.2,22.3,1026.6,10.0,6.7,14.0,24.1,72.0,35.1,0.0,999.9,0,546
2,2020,03,10,2020-03-10,60.7,36.9,1019.2,10.0,6.4,12.0,21.0,72.0,46.9,0.0,999.9,0,450
3,2020,03,11,2020-03-11,52.8,32.6,1017.6,10.0,5.1,9.9,22.0,64.9,43.0,0.0,999.9,0,473
4,2020,03,12,2020-03-12,46.9,31.3,1020.0,10.0,3.5,8.9,999.9,57.0,43.0,0.0,999.9,0,456
5,2020,03,13,2020-03-13,54.0,43.3,1011.9,6.9,7.3,17.1,26.0,69.1,45.0,0.18,999.9,0,551
6,2020,03,14,2020-03-14,49.8,19.5,1023.5,10.0,6.6,11.1,22.9,61.0,43.0,0.11,999.9,0,371
7,2020,03,15,2020-03-15,47.0,20.9,1029.6,10.0,5.2,9.9,15.0,57.0,42.1,0.0,999.9,0,331
1,2020,03,16,2020-03-16,40.1,15.3,1034.2,10.0,7.6,13.0,18.1,54.0,33.1,0.0,999.9,0,378
2,2020,03,17,2020-03-17,45.1,37.2,1023.7,9.3,4.3,12.0,19.0,54.0,33.1,0.09,999.9,0,374
3,2020,03,18,2020-03-18,47.9,28.0,1029.0,10.0,3.5,9.9,15.9,54.0,41.0,0.07,999.9,0,298
4,2020,03,19,2020-03-19,46.1,39.0,1025.6,7.3,4.4,9.9,18.1,54.0,41.0,0.9,999.9,0,339
5,2020,03,20,2020-03-20,56.0,48.3,1015.6,7.9,4.0,15.0,24.1,77.0,41.0,0.03,999.9,0,306
6,2020,03,21,2020-03-21,52.8,27.8,1021.5,10.0,7.4,14.0,24.1,77.0,42.1,0.0,999.9,0,238
7,2020,03,22,2020-03-22,39.2,13.0,1035.1,10.0,8.5,14.0,21.0,46.9,33.1,0.0,999.9,0,139
1,2020,03,23,2020-03-23,37.8,30.5,1031.0,6.3,8.2,13.0,20.0,45.0,33.1,0.01,999.9,0,225
2,2020,03,24,2020-03-24,42.9,32.5,1018.5,10.0,5.8,9.9,18.1,55.0,36.0,1.15,999.9,0,201
3,2020,03,25,2020-03-25,42.8,33.3,1019.1,10.0,8.4,14.0,24.1,55.0,36.0,0.0,999.9,0,168
4,2020,03,26,2020-03-26,45.6,31.4,1016.0,10.0,4.3,9.9,18.1,60.1,37.9,0.01,999.9,0,187
5,2020,03,27,2020-03-27,57.0,35.8,1009.9,10.0,4.3,9.9,15.9,69.1,37.9,0.0,999.9,0,195
6,2020,03,28,2020-03-28,49.8,31.3,1018.5,9.0,5.2,9.9,15.0,69.1,44.1,0.0,999.9,0,183
7,2020,03,29,2020-03-29,45.2,43.7,1013.0,3.0,10.6,15.9,25.1,54.0,44.1,0.47,999.9,0,146
1,2020,03,30,2020-03-30,46.2,41.7,1013.0,9.3,4.9,14.0,18.1,52.0,41.0,0.03,999.9,0,164
2,2020,03,31,2020-03-31,44.4,37.1,1015.9,9.3,5.2,9.9,17.1,52.0,41.0,0.1,999.9,0,158
3,2020,04,01,2020-04-01,45.8,28.8,1009.7,10.0,7.2,12.0,17.1,55.9,37.9,0.06,999.9,0,155
4,2020,04,02,2020-04-02,48.0,26.1,1005.8,10.0,7.2,15.0,27.0,57.9,37.9,0.0,999.9,0,166
5,2020,04,03,2020-04-03,49.3,36.1,1003.9,9.5,7.4,12.0,22.9,57.9,37.9,0.01,999.9,0,191
6,2020,04,04,2020-04-04,52.1,40.9,1014.0,9.1,5.2,12.0,21.0,62.1,45.0,0.13,999.9,0,156
7,2020,04,05,2020-04-05,53.1,43.1,1016.5,10.0,1.8,5.1,999.9,64.9,46.0,0.01,999.9,0,94
1,2020,04,06,2020-04-06,55.8,36.0,1015.5,9.6,4.8,8.9,999.9,66.0,48.9,0.07,999.9,0,127
2,2020,04,07,2020-04-07,57.6,24.8,1012.8,10.0,3.8,11.1,18.1,68.0,48.9,0.0,999.9,0,129
3,2020,04,08,2020-04-08,57.5,45.9,1002.1,8.1,3.9,7.0,999.9,64.0,51.8,0.2,999.9,0,125
4,2020,04,09,2020-04-09,51.6,42.1,997.5,9.7,6.1,18.1,33.0,64.0,48.9,0.12,999.9,0,103
5,2020,04,10,2020-04-10,44.0,25.7,995.8,10.0,8.0,18.1,32.1,59.0,37.0,0.01,999.9,0,115
6,2020,04,11,2020-04-11,45.7,19.7,1010.5,10.0,8.8,15.0,22.0,55.9,37.0,0.0,999.9,0,121
7,2020,04,12,2020-04-12,52.9,27.6,1019.8,10.0,4.5,11.1,19.0,63.0,37.9,0.0,999.9,0,106
1,2020,04,13,2020-04-13,57.3,53.4,1011.8,4.8,6.6,14.0,33.0,66.0,44.1,0.65,999.9,0,138
2,2020,04,14,2020-04-14,54.1,32.0,1014.8,10.0,5.7,11.1,21.0,66.9,46.9,1.27,999.9,0,135
3,2020,04,15,2020-04-15,47.7,23.4,1014.3,10.0,5.6,8.9,21.0,60.1,42.1,0.0,999.9,0,139
4,2020,04,16,2020-04-16,45.4,18.0,1017.1,10.0,7.4,13.0,25.1,54.0,39.9,0.0,999.9,0,138
5,2020,04,17,2020-04-17,42.1,21.3,1023.3,10.0,5.6,13.0,20.0,51.1,36.0,0.0,999.9,0,158
6,2020,04,18,2020-04-18,43.6,38.4,1010.1,7.1,4.5,8.0,17.1,51.1,36.0,0.19,999.9,0,125
7,2020,04,19,2020-04-19,49.5,27.7,1011.5,10.0,6.0,9.9,22.0,63.0,39.9,0.1,999.9,0,102
1,2020,04,20,2020-04-20,53.2,30.5,1004.6,10.0,4.7,8.9,15.9,63.0,39.9,0.0,999.9,0,140
2,2020,04,21,2020-04-21,51.2,36.8,1001.8,9.3,5.1,11.1,31.1,61.0,46.0,0.0,999.9,0,121
3,2020,04,22,2020-04-22,42.7,16.1,1009.4,10.0,8.3,14.0,26.0,61.0,36.0,0.18,999.9,0,148
4,2020,04,23,2020-04-23,44.5,18.7,1017.0,10.0,2.9,6.0,999.9,52.0,36.0,0.0,999.9,0,108
5,2020,04,24,2020-04-24,45.4,41.3,1008.9,6.1,7.4,14.0,24.1,52.0,39.9,0.39,999.9,0,172
6,2020,04,25,2020-04-25,52.1,40.0,1015.7,10.0,2.3,9.9,17.1,64.9,44.1,0.22,999.9,0,152
7,2020,04,26,2020-04-26,48.3,39.7,1015.0,7.7,7.6,21.0,35.0,64.9,44.1,0.0,999.9,0,140
1,2020,04,27,2020-04-27,43.9,37.1,1011.3,9.4,6.7,9.9,20.0,51.1,39.0,0.22,999.9,0,131
2,2020,04,28,2020-04-28,50.8,32.3,1019.0,10.0,3.8,8.9,15.9,66.9,39.0,0.0,999.9,0,185
3,2020,04,29,2020-04-29,51.1,42.8,1022.1,9.8,4.5,8.0,18.1,66.9,41.0,0.0,999.9,0,137
4,2020,04,30,2020-04-30,53.9,49.2,1018.1,7.5,7.7,14.0,31.1,60.1,46.9,0.13,999.9,0,173
5,2020,05,01,2020-05-01,57.6,53.5,1005.6,6.4,4.5,13.0,29.9,66.0,48.9,0.68,999.9,0,186
6,2020,05,02,2020-05-02,62.3,38.6,1012.1,10.0,5.5,8.9,15.9,73.0,51.1,0.12,999.9,0,189
7,2020,05,03,2020-05-03,66.8,46.6,1008.8,9.9,4.6,8.0,15.9,80.1,51.1,0.04,999.9,0,167
1,2020,05,04,2020-05-04,65.6,41.2,1004.8,10.0,5.1,13.0,32.1,80.1,54.0,0.0,999.9,0,174
2,2020,05,05,2020-05-05,53.2,24.2,1012.2,10.0,6.5,9.9,21.0,75.0,46.0,0.0,999.9,0,174
3,2020,05,06,2020-05-06,50.5,37.0,1010.8,9.5,5.3,11.1,17.1,63.0,45.0,0.0,999.9,0,184
4,2020,05,07,2020-05-07,54.1,31.2,1007.7,10.0,4.1,8.9,20.0,66.9,45.0,0.06,999.9,0,175
5,2020,05,08,2020-05-08,51.0,32.3,1008.9,8.8,3.9,9.9,19.0,66.9,44.1,0.0,999.9,0,177
6,2020,05,09,2020-05-09,40.4,24.4,1008.8,8.8,7.4,14.0,31.1,57.0,34.0,0.48,999.9,0,148
7,2020,05,10,2020-05-10,49.4,23.8,1017.3,10.0,6.4,11.1,25.1,64.0,34.0,0.03,999.9,0,163
1,2020,05,11,2020-05-11,53.9,38.8,1011.5,9.9,4.8,8.9,18.1,64.0,39.0,0.0,999.9,0,173
2,2020,05,12,2020-05-12,50.6,24.8,1015.2,10.0,7.3,13.0,24.1,61.0,43.0,0.05,999.9,0,191
3,2020,05,13,2020-05-13,52.0,22.0,1023.8,10.0,5.2,9.9,17.1,64.0,41.0,0.0,999.9,0,212
4,2020,05,14,2020-05-14,57.1,29.5,1024.6,10.0,2.3,6.0,999.9,66.9,41.0,0.0,999.9,0,171
5,2020,05,15,2020-05-15,69.7,54.8,1014.4,9.9,3.6,9.9,15.0,84.0,46.9,0.03,999.9,0,242
6,2020,05,16,2020-05-16,70.5,53.4,1014.9,9.7,3.6,8.9,18.1,84.0,60.1,0.05,999.9,0,217
7,2020,05,17,2020-05-17,60.9,44.8,1024.1,10.0,2.4,8.0,999.9,77.0,55.0,0.01,999.9,0,171
1,2020,05,18,2020-05-18,60.2,45.7,1021.2,10.0,999.9,999.9,999.9,70.0,54.0,0.0,999.9,0,185
2,2020,05,19,2020-05-19,60.2,38.0,1022.7,10.0,999.9,999.9,999.9,70.0,54.0,0.0,999.9,0,229
3,2020,05,20,2020-05-20,57.0,34.3,1029.6,10.0,999.9,999.9,999.9,68.0,51.1,0.0,999.9,0,192
4,2020,05,21,2020-05-21,55.4,40.6,1029.3,10.0,999.9,999.9,999.9,68.0,46.0,0.0,999.9,0,212
5,2020,05,22,2020-05-22,62.9,53.1,1022.3,9.4,999.9,999.9,999.9,77.0,46.0,0.0,999.9,0,264
6,2020,05,23,2020-05-23,62.7,60.4,1016.3,5.5,999.9,999.9,999.9,77.0,54.0,0.03,999.9,1,193
7,2020,05,24,2020-05-24,58.2,45.7,1023.2,10.0,999.9,999.9,999.9,66.9,51.8,0.65,999.9,0,197
1,2020,05,25,2020-05-25,61.8,54.0,1023.1,9.2,999.9,999.9,999.9,71.1,52.0,0.0,999.9,0,214
2,2020,05,26,2020-05-26,65.9,58.1,1022.7,7.8,999.9,999.9,999.9,78.1,55.0,0.0,999.9,0,224
3,2020,05,27,2020-05-27,66.7,59.5,1023.0,9.2,999.9,999.9,999.9,79.0,57.9,0.0,999.9,0,239
4,2020,05,28,2020-05-28,68.3,64.0,1021.6,9.3,999.9,999.9,999.9,79.0,60.1,0.0,999.9,0,209
5,2020,05,29,2020-05-29,72.0,66.4,1015.7,8.8,999.9,999.9,999.9,81.0,64.0,0.0,999.9,0,258
6,2020,05,30,2020-05-30,72.2,58.1,1011.6,9.8,999.9,999.9,999.9,81.0,66.9,0.05,999.9,0,226
7,2020,05,31,2020-05-31,65.0,38.8,1016.3,10.0,999.9,999.9,999.9,81.0,55.9,0.02,999.9,0,208
1,2020,06,01,2020-06-01,60.4,34.3,1021.7,10.0,999.9,999.9,999.9,70.0,51.1,0.0,999.9,0,196
2,2020,06,02,2020-06-02,65.5,42.1,1016.1,10.0,999.9,999.9,999.9,72.0,51.1,0.0,999.9,0,197
3,2020,06,03,2020-06-03,69.0,58.7,1005.4,8.6,999.9,999.9,999.9,78.1,59.0,0.29,999.9,0,216
4,2020,06,04,2020-06-04,73.9,62.1,1009.4,10.0,999.9,999.9,999.9,84.0,60.1,0.16,999.9,0,245
5,2020,06,05,2020-06-05,73.0,67.0,1011.9,7.4,999.9,999.9,999.9,79.0,69.1,0.27,999.9,0,248
6,2020,06,06,2020-06-06,76.3,66.3,1008.2,7.8,999.9,999.9,999.9,86.0,69.1,0.26,999.9,0,262
7,2020,06,07,2020-06-07,71.2,45.4,1011.1,10.0,999.9,999.9,999.9,86.0,63.0,0.05,999.9,0,206
1,2020,06,08,2020-06-08,69.3,44.3,1015.8,10.0,999.9,999.9,999.9,79.0,59.0,0.0,999.9,0,235
2,2020,06,09,2020-06-09,75.9,52.2,1013.7,10.0,999.9,999.9,999.9,87.1,59.0,0.0,999.9,0,251
3,2020,06,10,2020-06-10,77.3,62.1,1014.2,9.9,999.9,999.9,999.9,87.1,64.9,0.0,999.9,0,238
4,2020,06,11,2020-06-11,74.3,68.2,1014.7,9.2,999.9,999.9,999.9,84.9,70.0,0.01,999.9,0,251
5,2020,06,12,2020-06-12,76.5,56.4,1017.6,9.6,999.9,999.9,999.9,84.9,69.1,0.04,999.9,0,277
6,2020,06,13,2020-06-13,68.9,44.2,1020.5,10.0,999.9,999.9,999.9,84.9,60.1,0.0,999.9,0,282
7,2020,06,14,2020-06-14,63.6,42.0,1027.1,10.0,999.9,999.9,999.9,75.0,54.0,0.0,999.9,0,228
1,2020,06,15,2020-06-15,65.9,48.5,1028.9,10.0,999.9,999.9,999.9,75.0,54.0,0.0,999.9,0,223
2,2020,06,16,2020-06-16,67.8,49.9,1028.1,10.0,999.9,999.9,999.9,78.1,59.0,0.0,999.9,0,259
3,2020,06,17,2020-06-17,68.6,55.0,1024.9,10.0,999.9,999.9,999.9,78.1,60.1,0.0,999.9,0,244
4,2020,06,18,2020-06-18,70.0,63.9,1021.8,9.6,999.9,999.9,999.9,78.1,60.1,0.0,999.9,0,226
5,2020,06,19,2020-06-19,72.2,63.5,1019.6,9.0,999.9,999.9,999.9,82.9,64.9,0.0,999.9,0,306
6,2020,06,20,2020-06-20,76.0,64.4,1017.7,10.0,1.2,5.1,999.9,86.0,64.9,0.0,999.9,0,246
7,2020,06,21,2020-06-21,76.5,64.5,1015.8,10.0,2.3,5.1,999.9,88.0,70.0,0.0,999.9,0,245
1,2020,06,22,2020-06-22,79.4,65.8,1013.9,10.0,2.4,5.1,999.9,90.0,70.0,0.0,999.9,0,295
2,2020,06,23,2020-06-23,79.2,66.2,1009.3,10.0,2.6,7.0,999.9,90.0,72.0,0.0,999.9,0,291
3,2020,06,24,2020-06-24,78.7,62.5,1005.6,9.2,2.9,8.0,999.9,87.1,73.9,0.0,999.9,0,300
4,2020,06,25,2020-06-25,77.6,53.8,1013.3,10.0,2.8,6.0,999.9,87.1,72.0,0.0,999.9,0,251
5,2020,06,26,2020-06-26,77.3,56.4,1013.9,10.0,2.8,6.0,999.9,87.1,69.1,0.0,999.9,0,337
6,2020,06,27,2020-06-27,76.3,61.3,1009.6,9.3,2.7,7.0,999.9,87.1,69.1,0.0,999.9,0,273
7,2020,06,28,2020-06-28,79.5,67.8,1006.5,9.5,2.1,6.0,19.0,90.0,70.0,0.09,999.9,0,240
1,2020,06,29,2020-06-29,75.7,64.8,1008.4,9.3,3.4,13.0,41.0,90.0,64.9,0.11,999.9,1,301
2,2020,06,30,2020-06-30,71.8,63.4,1011.8,9.8,2.6,8.0,999.9,87.1,64.9,0.58,999.9,0,278
3,2020,07,01,2020-07-01,72.4,63.9,1011.6,9.6,1.8,7.0,999.9,80.1,66.9,0.0,999.9,0,259
4,2020,07,02,2020-07-02,78.2,62.9,1009.9,10.0,2.5,8.0,999.9,91.9,66.9,0.03,999.9,0,340
5,2020,07,03,2020-07-03,82.4,65.0,1009.6,9.5,2.9,11.1,15.0,91.9,68.0,0.0,999.9,1,302
6,2020,07,04,2020-07-04,75.1,65.9,1012.7,8.4,4.0,8.9,999.9,90.0,68.0,0.13,999.9,0,278
7,2020,07,05,2020-07-05,79.4,64.2,1013.5,8.2,2.0,5.1,999.9,91.9,68.0,0.0,999.9,0,290
1,2020,07,06,2020-07-06,80.9,64.2,1015.7,8.6,1.6,7.0,20.0,96.1,70.0,0.0,999.9,0,257
2,2020,07,07,2020-07-07,75.1,68.1,1019.1,9.3,4.8,8.0,999.9,81.0,71.1,0.54,999.9,0,243
3,2020,07,08,2020-07-08,77.7,71.2,1016.1,9.4,2.0,5.1,999.9,82.9,72.0,0.0,999.9,0,267
4,2020,07,09,2020-07-09,80.1,70.1,1015.2,9.6,2.3,6.0,999.9,89.1,75.0,0.02,999.9,0,313
5,2020,07,10,2020-07-10,75.3,71.6,1013.4,7.1,5.6,15.0,27.0,89.1,73.0,0.0,999.9,1,296
6,2020,07,11,2020-07-11,76.5,72.9,1004.4,7.3,3.4,8.0,20.0,82.9,72.0,2.55,999.9,1,274
7,2020,07,12,2020-07-12,78.1,65.4,1005.6,9.8,4.1,8.0,999.9,87.1,71.1,0.75,999.9,0,292
1,2020,07,13,2020-07-13,78.1,64.2,1008.3,9.8,3.3,7.0,14.0,87.1,70.0,0.06,999.9,0,290
2,2020,07,14,2020-07-14,77.9,59.1,1013.0,10.0,4.3,8.0,15.0,86.0,70.0,0.02,999.9,0,320
3,2020,07,15,2020-07-15,75.7,63.4,1020.4,10.0,4.7,9.9,999.9,84.9,70.0,0.0,999.9,0,268
4,2020,07,16,2020-07-16,72.6,61.8,1025.2,10.0,3.5,7.0,999.9,82.0,70.0,0.0,999.9,0,322
5,2020,07,17,2020-07-17,73.8,65.6,1020.7,9.9,1.7,7.0,15.0,84.0,69.1,0.02,999.9,0,308
6,2020,07,18,2020-07-18,80.9,65.9,1017.3,9.8,1.5,4.1,999.9,91.0,69.1,0.01,999.9,0,316
7,2020,07,19,2020-07-19,83.8,68.0,1013.9,10.0,3.2,7.0,999.9,93.9,72.0,0.0,999.9,0,313
1,2020,07,20,2020-07-20,85.9,70.6,1010.6,9.8,3.8,6.0,999.9,93.9,77.0,0.0,999.9,0,281
2,2020,07,21,2020-07-21,84.3,63.4,1014.9,10.0,1.5,5.1,999.9,93.0,77.0,0.0,999.9,0,331
3,2020,07,22,2020-07-22,81.5,71.3,1016.0,9.1,2.3,18.1,29.9,91.9,72.0,0.03,999.9,1,290
4,2020,07,23,2020-07-23,77.2,71.3,1016.0,9.6,4.1,8.0,999.9,91.9,72.0,1.39,999.9,0,332
5,2020,07,24,2020-07-24,77.0,70.5,1017.4,9.8,3.1,8.9,17.1,86.0,72.0,0.02,999.9,1,312
6,2020,07,25,2020-07-25,79.1,69.4,1018.3,9.2,2.5,7.0,999.9,88.0,72.0,0.17,999.9,0,291
7,2020,07,26,2020-07-26,83.1,67.9,1015.7,10.0,4.9,8.9,15.9,91.9,72.0,0.0,999.9,0,313
1,2020,07,27,2020-07-27,85.1,64.0,1010.5,10.0,4.4,8.9,15.0,93.0,75.9,0.0,999.9,0,320
2,2020,07,28,2020-07-28,85.7,69.0,1008.2,10.0,4.7,12.0,20.0,93.0,75.9,0.0,999.9,0,298
3,2020,07,29,2020-07-29,82.3,66.6,1012.2,10.0,1.1,7.0,999.9,93.0,77.0,0.0,999.9,0,318
4,2020,07,30,2020-07-30,83.9,64.1,1010.8,10.0,2.6,6.0,15.9,91.9,77.0,0.0,999.9,0,300
5,2020,07,31,2020-07-31,75.3,68.0,1009.5,7.3,1.1,7.0,999.9,91.9,70.0,0.86,999.9,1,343
